Locality,Municipality,Property_Type,BHK,Carpet_Area_SqFt,Floor_No,Parking_Spaces,Age_Years,Price_Cr,Price_per_SqFt
Thane West,TMC,Standard,1,410,5,1,25,0.52,12682.926829268292
Borivali West,BMC,Standard,1,451,29,1,4,1.17,25942.350332594237
Kalyan,KDMC,Luxury,4,3836,49,3,10,4.37,11392.075078206464
Kharghar,NMMC,Standard,2,948,28,1,25,1.14,12025.3164556962
Kalyan,KDMC,Standard,2,760,25,1,11,0.71,9342.105263157895
Malabar Hill,BMC,Standard,1,460,1,1,0,4.37,95000.0
Kalyan,KDMC,Standard,1,498,15,1,16,0.4,8032.128514056225
Vashi,NMMC,Standard,1,357,17,1,16,0.68,19047.61904761905
Vashi,NMMC,Standard,1,430,14,1,12,0.84,19534.883720930233
Vashi,NMMC,Standard,1,421,15,1,21,0.73,17339.667458432305
Malabar Hill,BMC,Standard,1,409,6,1,4,3.74,91442.54278728606
Vashi,NMMC,Standard,2,750,5,1,25,1.1,14666.666666666666
Andheri West,BMC,Standard,2,990,4,1,16,2.56,25858.58585858586
Kalyan,KDMC,Standard,1,477,15,1,18,0.37,7756.813417190776
Bandra West,BMC,Standard,1,449,35,1,25,2.86,63697.10467706013
Thane West,TMC,Standard,2,840,1,1,2,1.48,17619.04761904762
Andheri West,BMC,Standard,2,982,37,1,15,3.4,34623.21792260693
Andheri West,BMC,Standard,1,493,4,1,12,1.35,27383.36713995943
Mira Road,MBMC,Standard,3,1140,3,1,21,1.02,8947.368421052632
Thane West,TMC,Standard,2,788,2,1,7,1.3,16497.46192893401
Kharghar,NMMC,Luxury,5,3510,35,3,2,6.23,17749.287749287752
Mira Road,MBMC,Standard,1,466,29,1,6,0.64,13733.905579399141
Worli,BMC,Luxury,3,2250,49,2,5,24.75,110000.0
Thane West,TMC,Luxury,4,2828,48,3,22,5.36,18953.323903818953
Vashi,NMMC,Standard,3,1413,32,1,8,3.41,24133.050247699928
Borivali West,BMC,Luxury,4,2844,22,3,9,8.16,28691.983122362868
Malabar Hill,BMC,Standard,1,430,19,1,4,4.43,103023.25581395348
Vashi,NMMC,Luxury,5,3105,39,2,21,6.54,21062.80193236715
Kharghar,NMMC,Standard,3,1056,9,1,27,1.04,9848.484848484848
Kharghar,NMMC,Standard,2,844,23,1,9,1.24,14691.943127962086
Bandra West,BMC,Luxury,3,1938,42,3,29,15.15,78173.37461300309
Kalyan,KDMC,Standard,1,461,25,1,9,0.44,9544.468546637743
Mira Road,MBMC,Standard,1,468,25,1,13,0.57,12179.487179487178
Bandra West,BMC,Standard,1,448,11,1,10,2.93,65401.78571428572
Borivali West,BMC,Luxury,3,2970,36,2,29,6.98,23501.683501683503
Worli,BMC,Luxury,4,2612,30,2,15,21.75,83269.52526799387
Malabar Hill,BMC,Standard,3,1317,16,1,5,13.05,99088.83826879271
Kalyan,KDMC,Standard,1,397,12,1,27,0.26,6549.11838790932
Andheri West,BMC,Luxury,4,3656,46,2,14,17.16,46936.54266958425
Thane West,TMC,Luxury,5,4870,59,3,27,9.13,18747.433264887066
Malabar Hill,BMC,Standard,1,385,21,1,7,3.89,101038.96103896105
Borivali West,BMC,Standard,1,467,29,1,14,1.06,22698.072805139185
Borivali West,BMC,Standard,1,420,37,1,28,0.81,19285.714285714286
Bandra West,BMC,Standard,2,736,13,1,9,4.96,67391.30434782608
Borivali West,BMC,Luxury,5,4550,48,3,19,13.81,30351.648351648353
Kalyan,KDMC,Standard,1,499,32,1,15,0.47,9418.837675350702
Worli,BMC,Standard,1,394,19,1,22,2.15,54568.52791878173
Worli,BMC,Standard,2,898,22,1,19,5.27,58685.968819599104
Andheri West,BMC,Standard,1,496,38,1,5,1.98,39919.354838709674
Andheri West,BMC,Standard,3,1074,32,1,3,4.21,39199.25512104283
Worli,BMC,Standard,1,475,11,1,4,3.12,65684.21052631579
Vashi,NMMC,Standard,1,383,13,1,9,0.77,20104.43864229765
Kalyan,KDMC,Standard,3,1488,30,1,2,1.63,10954.301075268815
Kalyan,KDMC,Standard,2,888,32,1,1,1.0,11261.261261261261
Andheri West,BMC,Standard,2,732,32,1,15,2.44,33333.333333333336
Kharghar,NMMC,Luxury,5,3435,30,2,22,4.42,12867.540029112082
Borivali West,BMC,Standard,1,399,12,1,16,0.76,19047.619047619046
Malabar Hill,BMC,Standard,1,396,28,1,20,3.52,88888.88888888889
Mira Road,MBMC,Standard,2,706,19,1,25,0.68,9631.72804532578
Thane West,TMC,Standard,3,1083,3,1,9,1.74,16066.481994459833
Malabar Hill,BMC,Luxury,3,2229,49,3,19,29.43,132032.30148048452
Vashi,NMMC,Standard,1,359,33,1,12,0.83,23119.777158774374
Thane West,TMC,Standard,1,371,20,1,17,0.61,16442.048517520216
Kalyan,KDMC,Luxury,4,2752,31,3,7,2.86,10392.441860465116
Kalyan,KDMC,Standard,1,445,34,1,15,0.42,9438.202247191011
Andheri West,BMC,Standard,2,946,36,1,23,2.87,30338.266384778013
Vashi,NMMC,Standard,2,854,2,1,28,1.19,13934.426229508197
Borivali West,BMC,Standard,2,746,21,1,9,1.7,22788.203753351205
Borivali West,BMC,Standard,1,477,12,1,21,0.84,17610.062893081762
Thane West,TMC,Luxury,3,1863,35,3,28,2.89,15512.6140633387
Andheri West,BMC,Standard,1,497,18,1,5,1.69,34004.02414486922
Bandra West,BMC,Standard,2,986,5,1,3,6.65,67444.21906693712
Borivali West,BMC,Standard,2,978,16,1,16,1.93,19734.151329243356
Kharghar,NMMC,Standard,1,381,15,1,11,0.51,13385.826771653543
Malabar Hill,BMC,Luxury,5,3215,24,3,12,38.89,120964.2301710731
Andheri West,BMC,Standard,1,428,33,1,20,1.33,31074.766355140186
Bandra West,BMC,Standard,1,381,13,1,26,1.98,51968.503937007874
Andheri West,BMC,Standard,2,838,25,1,21,2.41,28758.949880668257
Worli,BMC,Standard,1,438,8,1,22,2.16,49315.068493150684
Malabar Hill,BMC,Standard,1,424,39,1,14,4.49,105896.22641509434
Vashi,NMMC,Standard,2,730,35,1,19,1.54,21095.890410958906
Bandra West,BMC,Luxury,4,2840,36,2,1,32.16,113239.43661971828
Andheri West,BMC,Standard,1,480,35,1,4,1.9,39583.333333333336
Andheri West,BMC,Standard,2,706,19,1,5,2.42,34277.62039660056
Kalyan,KDMC,Standard,2,916,22,1,10,0.85,9279.475982532751
Bandra West,BMC,Standard,2,878,26,1,22,5.47,62300.68337129841
Kalyan,KDMC,Standard,1,388,12,1,14,0.31,7989.690721649485
Kharghar,NMMC,Standard,2,720,38,1,1,1.32,18333.333333333332
Bandra West,BMC,Standard,1,462,28,1,0,3.98,86147.18614718615
Bandra West,BMC,Luxury,5,3255,26,3,10,30.33,93179.72350230414
Kharghar,NMMC,Standard,1,451,12,1,10,0.59,13082.039911308204
Bandra West,BMC,Luxury,4,3632,35,3,24,29.42,81002.20264317181
Kalyan,KDMC,Luxury,4,2860,23,3,10,2.67,9335.664335664336
Malabar Hill,BMC,Standard,1,441,23,1,12,4.23,95918.36734693879
Kharghar,NMMC,Standard,2,812,26,1,24,0.98,12068.965517241379
Vashi,NMMC,Standard,1,363,14,1,2,0.81,22314.049586776862
Malabar Hill,BMC,Standard,1,442,15,1,13,3.9,88235.29411764706
Thane West,TMC,Luxury,4,2820,57,2,22,5.68,20141.843971631206
Kalyan,KDMC,Luxury,4,3744,29,3,9,3.73,9962.606837606838
Kalyan,KDMC,Standard,2,802,33,1,0,0.92,11471.321695760598
Borivali West,BMC,Standard,1,481,26,1,3,1.23,25571.725571725572
Malabar Hill,BMC,Standard,1,384,8,1,28,2.49,64843.75000000001
Thane West,TMC,Luxury,4,3372,46,2,13,7.22,21411.625148279953
Kalyan,KDMC,Standard,1,365,35,1,14,0.36,9863.013698630137
Andheri West,BMC,Standard,2,776,4,1,29,1.62,20876.288659793816
Vashi,NMMC,Standard,2,770,18,1,25,1.28,16623.376623376622
Borivali West,BMC,Standard,2,952,26,1,22,1.87,19642.85714285714
Mira Road,MBMC,Standard,2,870,19,1,4,1.13,12988.505747126435
Worli,BMC,Standard,3,1146,10,1,4,7.45,65008.7260034904
Vashi,NMMC,Standard,1,498,12,1,22,0.82,16465.86345381526
Malabar Hill,BMC,Standard,1,351,39,1,20,3.4,96866.09686609686
Vashi,NMMC,Standard,1,457,31,1,25,0.85,18599.56236323851
Andheri West,BMC,Standard,1,447,29,1,23,1.28,28635.346756152125
Vashi,NMMC,Standard,3,1122,21,1,22,2.01,17914.438502673795
Kharghar,NMMC,Standard,1,468,9,1,25,0.48,10256.410256410256
Vashi,NMMC,Standard,2,782,32,1,26,1.43,18286.445012787724
Mira Road,MBMC,Standard,1,472,3,1,18,0.44,9322.033898305084
Mira Road,MBMC,Standard,1,355,12,1,14,0.38,10704.225352112677
Vashi,NMMC,Standard,2,970,8,1,22,1.54,15876.288659793814
Mira Road,MBMC,Standard,2,868,3,1,12,0.89,10253.456221198157
Thane West,TMC,Standard,2,716,14,1,12,1.2,16759.77653631285
Borivali West,BMC,Standard,1,451,34,1,8,1.16,25720.62084257206
Vashi,NMMC,Standard,2,700,10,1,10,1.36,19428.57142857143
Thane West,TMC,Standard,1,361,25,1,16,0.63,17451.52354570637
Mira Road,MBMC,Standard,2,940,23,1,10,1.17,12446.808510638299
Vashi,NMMC,Standard,3,1101,13,1,10,2.2,19981.834695731155
Worli,BMC,Standard,1,441,27,1,14,2.91,65986.39455782314
Kalyan,KDMC,Standard,1,417,34,1,15,0.4,9592.32613908873
Bandra West,BMC,Luxury,4,3516,58,3,29,30.69,87286.68941979522
Borivali West,BMC,Standard,1,460,18,1,1,1.13,24565.217391304344
Mira Road,MBMC,Standard,2,824,12,1,14,0.88,10679.611650485436
Worli,BMC,Standard,2,992,35,1,6,7.78,78427.41935483871
Borivali West,BMC,Standard,3,1182,24,1,8,2.8,23688.663282571913
Malabar Hill,BMC,Standard,3,1104,18,1,11,10.29,93206.52173913042
Kharghar,NMMC,Standard,2,764,19,1,27,0.82,10732.984293193716
Andheri West,BMC,Luxury,3,1908,54,3,1,11.24,58909.85324947589
Bandra West,BMC,Standard,2,950,23,1,27,5.3,55789.47368421053
Vashi,NMMC,Standard,2,790,8,1,11,1.48,18734.177215189873
Kharghar,NMMC,Luxury,3,2643,40,3,24,3.56,13469.542186908815
Kalyan,KDMC,Standard,1,413,23,1,10,0.39,9443.099273607748
Kharghar,NMMC,Standard,3,1485,23,1,14,2.04,13737.373737373737
Malabar Hill,BMC,Standard,1,440,18,1,23,3.42,77727.27272727272
Bandra West,BMC,Luxury,5,3845,39,2,26,31.02,80676.20286085826
Vashi,NMMC,Standard,2,812,31,1,20,1.63,20073.89162561576
Mira Road,MBMC,Standard,1,436,20,1,4,0.57,13073.394495412842
Vashi,NMMC,Standard,2,748,6,1,10,1.4,18716.57754010695
Kalyan,KDMC,Standard,1,424,14,1,1,0.41,9669.811320754716
Thane West,TMC,Standard,2,736,18,1,16,1.21,16440.217391304348
Andheri West,BMC,Standard,2,700,36,1,24,2.09,29857.14285714286
Malabar Hill,BMC,Luxury,5,4720,53,3,28,55.08,116694.91525423729
Bandra West,BMC,Luxury,3,1845,28,3,0,19.86,107642.27642276423
Mira Road,MBMC,Standard,1,453,18,1,1,0.61,13465.78366445916
Kalyan,KDMC,Standard,2,942,6,1,8,0.77,8174.097664543525
Kharghar,NMMC,Standard,2,734,24,1,19,0.94,12806.539509536784
Kalyan,KDMC,Standard,1,358,9,1,25,0.23,6424.581005586592
Andheri West,BMC,Standard,1,470,5,1,22,1.11,23617.021276595748
Borivali West,BMC,Standard,2,702,29,1,12,1.64,23361.82336182336
Andheri West,BMC,Luxury,4,3152,27,2,2,15.01,47620.558375634515
Kalyan,KDMC,Standard,1,391,13,1,3,0.37,9462.915601023018
Thane West,TMC,Standard,1,422,7,1,1,0.77,18246.44549763033
Vashi,NMMC,Standard,1,389,39,1,20,0.83,21336.76092544987
Kharghar,NMMC,Standard,1,438,31,1,17,0.62,14155.251141552511
Andheri West,BMC,Standard,1,479,25,1,12,1.57,32776.61795407098
Mira Road,MBMC,Standard,1,419,3,1,25,0.35,8353.221957040572
Bandra West,BMC,Standard,2,836,19,1,21,4.99,59688.995215311006
Bandra West,BMC,Standard,3,1431,24,1,8,10.78,75331.9357092942
Andheri West,BMC,Standard,1,384,14,1,16,1.08,28125.0
Bandra West,BMC,Luxury,5,3145,44,2,15,31.37,99745.6279809221
Vashi,NMMC,Standard,1,429,19,1,9,0.92,21445.221445221447
Malabar Hill,BMC,Standard,3,1077,34,1,3,12.72,118105.8495821727
Kalyan,KDMC,Luxury,4,3256,48,3,29,2.73,8384.520884520885
Kalyan,KDMC,Standard,2,848,26,1,18,0.72,8490.566037735849
Worli,BMC,Standard,1,427,26,1,15,2.75,64402.810304449646
Borivali West,BMC,Standard,1,408,8,1,18,0.72,17647.058823529413
Andheri West,BMC,Standard,2,840,9,1,12,2.39,28452.380952380954
Malabar Hill,BMC,Standard,1,384,3,1,21,2.73,71093.75
Thane West,TMC,Luxury,3,2454,57,3,6,6.23,25387.12306438468
Kharghar,NMMC,Standard,3,1398,33,1,17,1.99,14234.620886981402
Andheri West,BMC,Standard,1,482,32,1,2,1.91,39626.55601659751
Andheri West,BMC,Luxury,5,3575,50,3,16,16.75,46853.146853146856
Thane West,TMC,Standard,2,856,15,1,5,1.59,18574.766355140186
Worli,BMC,Standard,1,480,13,1,8,3.05,63541.666666666664
Worli,BMC,Standard,1,465,13,1,0,3.26,70107.52688172042
Worli,BMC,Standard,1,470,29,1,1,3.74,79574.46808510639
Worli,BMC,Standard,3,1161,14,1,7,7.53,64857.881136950906
Vashi,NMMC,Standard,2,876,30,1,28,1.53,17465.753424657534
Andheri West,BMC,Standard,2,768,37,1,15,2.66,34635.416666666664
Worli,BMC,Standard,2,732,16,1,25,3.7,50546.448087431694
Kharghar,NMMC,Standard,2,886,6,1,16,1.01,11399.548532731376
Kharghar,NMMC,Luxury,3,2241,35,3,18,3.2,14279.3395805444
Kalyan,KDMC,Standard,2,830,9,1,10,0.68,8192.77108433735
Andheri West,BMC,Standard,1,459,33,1,17,1.5,32679.738562091505
Kharghar,NMMC,Luxury,3,1800,23,3,3,2.87,15944.444444444445
Worli,BMC,Standard,2,754,36,1,27,4.34,57559.68169761273
Vashi,NMMC,Standard,1,463,24,1,23,0.84,18142.548596112312
Malabar Hill,BMC,Standard,3,1386,37,1,10,15.29,110317.46031746031
Kharghar,NMMC,Luxury,3,2034,42,3,21,2.92,14355.948869223206
Bandra West,BMC,Standard,2,832,7,1,23,4.3,51682.692307692305
Worli,BMC,Luxury,4,3168,48,3,20,27.97,88289.14141414141
Mira Road,MBMC,Standard,1,425,6,1,19,0.4,9411.764705882353
Thane West,TMC,Standard,3,1386,24,1,14,2.47,17821.067821067823
Kharghar,NMMC,Standard,2,818,35,1,29,0.97,11858.190709046456
Vashi,NMMC,Luxury,4,2564,20,3,29,4.04,15756.630265210608
Worli,BMC,Standard,1,491,23,1,24,2.68,54582.48472505092
Thane West,TMC,Standard,2,992,34,1,2,2.25,22681.451612903227
Worli,BMC,Standard,3,1242,1,1,26,5.55,44685.99033816425
Borivali West,BMC,Luxury,5,3300,59,3,25,9.78,29636.363636363636
Malabar Hill,BMC,Luxury,5,4360,42,2,6,65.82,150963.30275229356
Borivali West,BMC,Standard,1,395,4,1,13,0.73,18481.01265822785
Kharghar,NMMC,Standard,2,948,17,1,4,1.42,14978.902953586497
Vashi,NMMC,Standard,2,956,6,1,18,1.59,16631.799163179916
Worli,BMC,Standard,1,372,26,1,12,2.5,67204.30107526881
Kharghar,NMMC,Standard,3,1338,15,1,3,1.99,14872.944693572495
Kharghar,NMMC,Standard,3,1230,2,1,22,1.27,10325.203252032521
Mira Road,MBMC,Standard,3,1404,16,1,13,1.58,11253.561253561253
Mira Road,MBMC,Standard,2,766,33,1,8,1.06,13838.120104438642
Kalyan,KDMC,Luxury,5,4565,50,3,17,4.74,10383.351588170864
Kharghar,NMMC,Luxury,3,2607,51,3,5,5.01,19217.491369390104
Kharghar,NMMC,Standard,3,1494,17,1,0,2.34,15662.650602409638
Mira Road,MBMC,Luxury,5,3845,31,2,23,4.21,10949.284785435631
Kalyan,KDMC,Standard,2,754,17,1,13,0.64,8488.063660477454
Worli,BMC,Standard,1,463,7,1,12,2.63,56803.455723542116
Kalyan,KDMC,Standard,1,423,25,1,4,0.43,10165.48463356974
Borivali West,BMC,Standard,1,459,33,1,16,1.04,22657.952069716775
Thane West,TMC,Luxury,4,3804,43,2,8,8.54,22450.05257623554
Andheri West,BMC,Luxury,3,2715,49,3,7,14.32,52744.014732965006
Mira Road,MBMC,Standard,2,846,17,1,17,0.91,10756.501182033096
Mira Road,MBMC,Standard,3,1293,17,1,8,1.57,12142.304717710751
Malabar Hill,BMC,Standard,1,497,9,1,12,4.2,84507.04225352113
Borivali West,BMC,Luxury,4,2500,45,2,25,6.74,26960.0
Malabar Hill,BMC,Standard,2,782,19,1,16,6.84,87468.03069053708
Malabar Hill,BMC,Standard,1,480,26,1,2,5.39,112291.66666666667
Thane West,TMC,Standard,3,1068,36,1,15,2.07,19382.022471910113
Thane West,TMC,Luxury,4,2912,44,2,9,6.5,22321.428571428572
Vashi,NMMC,Standard,2,882,6,1,15,1.53,17346.938775510203
Andheri West,BMC,Standard,2,784,26,1,25,2.12,27040.816326530614
Kharghar,NMMC,Standard,1,412,3,1,19,0.45,10922.330097087379
Andheri West,BMC,Standard,3,1473,30,1,16,4.76,32315.00339443313
Mira Road,MBMC,Standard,2,950,34,1,11,1.28,13473.684210526315
Mira Road,MBMC,Standard,2,830,9,1,22,0.76,9156.626506024097
Kharghar,NMMC,Standard,1,479,20,1,19,0.6,12526.096033402922
Bandra West,BMC,Standard,2,898,14,1,15,5.62,62583.51893095768
Bandra West,BMC,Standard,2,966,13,1,3,7.04,72877.84679089027
Vashi,NMMC,Standard,3,1398,7,1,15,2.46,17596.56652360515
